iter	Logloss
0	0.6792229631
1	0.6657057892
2	0.6543925614
3	0.6403047024
4	0.6213075132
5	0.6089373293
6	0.5919565938
7	0.5776094345
8	0.5670102215
9	0.5589406862
10	0.5513598749
11	0.5423979039
12	0.5327932246
13	0.5234039256
14	0.5162258822
15	0.5069916457
16	0.4987267287
17	0.4893257831
18	0.4795616877
19	0.4708385769
20	0.4602825313
21	0.452737055
22	0.4458465298
23	0.4397092512
24	0.4333915513
25	0.4261943783
26	0.4200500815
27	0.4146448645
28	0.4099821452
29	0.4053875367
30	0.4001446211
31	0.3925490488
32	0.3880075956
33	0.3845919773
34	0.3806670297
35	0.3768074311
36	0.3725623349
37	0.3671336441
38	0.3637587931
39	0.359978571
40	0.356661814
41	0.3542777544
42	0.3509782982
43	0.3482567316
44	0.3450909377
45	0.3418476187
46	0.3382684863
47	0.3346475885
48	0.3314637681
49	0.3281473007
50	0.3253102155
51	0.3226214794
52	0.3175713428
53	0.3148220092
54	0.3118202895
55	0.3096104272
56	0.3067500951
57	0.3045428016
58	0.3019152535
59	0.2987501977
60	0.2958435029
61	0.2931862354
62	0.2908260184
63	0.2886408676
64	0.2851093253
65	0.2827552031
66	0.2805989772
67	0.2782303397
68	0.2760327807
69	0.2739773164
70	0.2699515684
71	0.2680605445
72	0.2665468152
73	0.2645361083
74	0.2626017158
75	0.2605720991
76	0.2581578687
77	0.2550535961
78	0.2534082156
79	0.2515713816
80	0.2491465739
81	0.2476355553
82	0.2456959656
83	0.2439076148
84	0.2417508646
85	0.2403078631
86	0.2388266437
87	0.2371245185
88	0.2356119907
89	0.233763543
90	0.2321598394
91	0.2305763
92	0.2287533711
93	0.2272998954
94	0.2257868566
95	0.2243122936
96	0.2226285242
97	0.2210801488
98	0.2196456778
99	0.2181402155
