iter	Passed	Remaining
0	3	343
1	7	362
2	10	338
3	11	285
4	16	304
5	19	307
6	20	274
7	22	254
8	26	266
9	29	268
10	32	265
11	35	259
12	38	254
13	41	254
14	43	248
15	45	238
16	48	234
17	51	232
18	53	226
19	55	222
20	56	211
21	58	207
22	60	202
23	62	198
24	64	193
25	67	192
26	69	188
27	72	187
28	75	185
29	78	182
30	80	179
31	81	173
32	83	170
33	86	168
34	89	166
35	93	165
36	96	164
37	98	160
38	101	158
39	103	155
40	106	153
41	110	151
42	113	150
43	116	148
44	119	145
45	122	143
46	124	140
47	127	138
48	130	135
49	132	132
50	135	129
51	137	127
52	138	122
53	141	120
54	144	117
55	146	115
56	150	113
57	153	110
58	155	108
59	158	105
60	160	102
61	163	100
62	166	98
63	169	95
64	171	92
65	173	89
66	177	87
67	179	84
68	182	81
69	185	79
70	186	76
71	189	73
72	192	71
73	195	68
74	198	66
75	201	63
76	203	60
77	207	58
78	209	55
79	212	53
80	214	50
81	217	47
82	220	45
83	224	42
84	227	40
85	229	37
86	232	34
87	234	31
88	236	29
89	239	26
90	243	24
91	245	21
92	248	18
93	251	16
94	254	13
95	257	10
96	260	8
97	262	5
98	265	2
99	268	0
